Actual RTM Price,Predicted RTM Price,Difference
2409.74,2321.8823,87.85767578124978
2409.43,2270.273,139.15705078124984
2409.49,2197.3848,212.10523437499978
2409.57,2153.6082,255.96184570312516
2579.04,2153.09,425.94991210937496
2579.26,2125.1804,454.0795800781252
2409.45,2087.2126,322.2373535156248
2409.31,2021.5366,387.77337890624995
2000.52,2103.83,-103.31007812500002
1999.54,2011.553,-12.012978515625036
2102.0,2059.0796,42.92041015625
2299.28,2042.7734,256.5065625000002
2156.3,2033.4056,122.89436035156268
2156.34,2024.6633,131.67666992187515
2500.36,1969.778,530.5820458984376
2409.69,1921.9073,487.78265136718755
2409.09,1987.5828,421.50723632812515
2299.2,2107.5356,191.66435546874982
2690.11,2053.5286,636.5814355468751
2579.26,2166.131,413.1288964843752
2579.4,2347.304,232.0960449218751
2960.8,2422.797,538.0028808593752
2960.77,2401.0557,559.7143359375
2800.41,2500.1687,300.24129882812485
3069.94,2692.1277,377.81231445312505
3164.69,2871.8884,292.80157226562505
3399.14,3095.7288,303.4112402343749
3700.31,3265.056,435.25409179687495
4247.09,3376.925,870.1649511718751
4500.86,3846.4773,654.3827050781247
5005.97,4096.529,909.4411914062503
5004.61,4202.136,802.4737695312497
5499.71,4423.208,1076.5019921875
6100.11,4711.0767,1389.0333398437497
6050.83,4831.5615,1219.2684765625
6050.94,4868.7373,1182.2026953124996
6050.64,5017.5244,1033.1155859375003
6050.7,4983.1724,1067.5276367187498
6250.52,4405.8696,1844.6503710937504
6250.22,4473.769,1776.4509570312503
6500.29,4297.125,2203.165
6500.31,4353.9517,2146.3583398437504
6500.18,4572.411,1927.7688671875003
6100.5,4520.1533,1580.3466796875
6500.0,4339.671,2160.3291015625
5899.78,4019.4705,1880.3095410156247
6500.0,3739.6602,2760.33984375
4899.23,3735.5007,1163.7292675781246
5534.36,3437.3994,2096.9605859374997
6002.89,3448.783,2554.1070410156253
5999.38,3490.954,2508.4258984375
5244.83,3452.4492,1792.38078125
3399.1,3141.7136,257.3863769531249
3332.28,2895.2002,437.0798046875002
3332.22,2899.2415,432.9785449218748
3099.4,2892.1582,207.2417968750001
3399.97,2870.9346,529.0354296874998
3500.47,2939.3887,561.0813281249998
3500.11,2894.3416,605.7684472656251
3500.32,2987.3472,512.9728320312502
3400.77,3051.0989,349.671123046875
3400.5,3112.5413,287.958740234375
3851.95,3204.1685,647.7815429687498
4002.81,3430.7522,572.057802734375
4455.28,3341.1646,1114.1154492187497
4500.18,3539.685,960.4949414062503
5500.61,3719.2869,1781.3231347656247
5500.63,3845.4656,1655.164423828125
5499.42,3617.242,1882.178056640625
5499.84,3879.4514,1620.3885839843751
4449.36,3528.3345,921.0255273437497
4999.4,3694.1794,1305.2205566406246
4499.37,3833.483,665.8870898437499
6000.2,4142.031,1858.1692382812498
6000.91,4700.491,1300.4187890624999
6000.85,5269.931,730.9188476562504
5999.59,5270.5317,729.0582617187501
5999.47,5037.7656,961.7043750000003
4499.44,4450.6865,48.7534765624996
4499.05,4322.34,176.71015625000018
3769.2,3850.3745,-81.17451171875018
3502.14,3735.2087,-233.06874023437513
3439.04,3658.9553,-219.91532226562504
2979.93,3140.9246,-160.99456054687516
2896.74,3008.8586,-112.11864257812522
2896.53,2903.7034,-7.1733691406248
2746.81,2645.627,101.18304687499995
2746.06,2477.683,268.37689453124995
2776.51,2716.4268,60.08324218750022
2853.25,2719.4873,133.7626953125
2700.89,2645.7097,55.18028320312487
2669.49,2563.24,106.25000976562478
2589.49,2305.7253,283.7646582031248
2579.87,2286.877,292.9930468749999
2589.32,2465.087,124.23308593750016
2579.7,2451.2239,128.47612304687482
