Actual RTM Price,Predicted RTM Price,Difference
2409.74,2278.8949548074493,130.84504519255051
2409.43,2258.2849664904434,151.14503350955647
2409.49,2202.214727461939,207.27527253806056
2409.57,2122.178067195718,287.3919328042821
2579.04,2146.140218823638,432.899781176362
2579.26,2126.213416340634,453.0465836593662
2409.45,2019.1225252663287,390.3274747336711
2409.31,1976.7062906414812,432.6037093585187
2000.52,2025.834194397168,-25.314194397167967
1999.54,1953.7029705459329,45.83702945406708
2102.0,2032.457350638841,69.54264936115896
2299.28,2001.5995406266425,297.68045937335773
2156.3,1991.8105034798007,164.4894965201995
2156.34,1982.2973976950382,174.04260230496197
2500.36,1947.5939412477474,552.7660587522528
2409.69,1854.2078999030516,555.4821000969484
2409.09,1917.600837130438,491.48916286956205
2299.2,2037.0264544092665,262.1735455907333
2690.11,2042.6036803408665,647.5063196591336
2579.26,2126.6479088945543,452.61209110544587
2579.4,2353.628223959377,225.77177604062308
2960.8,2434.287999943698,526.512000056302
2960.77,2416.791918234744,543.9780817652559
2800.41,2515.6706707528524,284.73932924714745
3069.94,2673.0335640448457,396.9064359551544
3164.69,2859.435994096105,305.2540059038952
3399.14,3137.0391492768263,262.1008507231736
3700.31,3183.748857543452,516.5611424565482
4247.09,3346.175821427026,900.9141785729739
4500.86,3727.672201468904,773.1877985310957
5005.97,4078.7273456036587,927.2426543963415
5004.61,4183.010684395403,821.599315604597
5499.71,4546.122698704973,953.5873012950269
6100.11,4735.3540446078405,1364.7559553921592
6050.83,4885.77757988793,1165.0524201120697
6050.94,4970.277136071649,1080.6628639283508
6050.64,4953.6624895833165,1096.9775104166838
6050.7,4896.535234930315,1154.164765069685
6250.52,4854.630601187028,1395.889398812972
6250.22,4860.942277375741,1389.2777226242597
6500.29,4642.250380918135,1858.0396190818647
6500.31,4765.4791939471625,1734.830806052838
6500.18,4919.952850192244,1580.2271498077562
6100.5,4831.569117971593,1268.9308820284068
6500.0,4320.431577420093,2179.568422579907
5899.78,4113.082606382578,1786.6973936174218
6500.0,3901.5352595399027,2598.4647404600973
4899.23,3695.6674066641713,1203.5625933358283
5534.36,3686.392291055961,1847.9677089440388
6002.89,3776.066460571078,2226.8235394289222
5999.38,3654.532580300162,2344.847419699838
5244.83,3589.479749161669,1655.3502508383308
3399.1,3185.939172515791,213.16082748420877
3332.28,3040.943381092307,291.33661890769326
3332.22,3137.574648464942,194.64535153505767
3099.4,3123.538777200001,-24.13877720000073
3399.97,3116.621769628528,283.3482303714718
3500.47,3136.1242483211495,364.3457516788503
3500.11,3139.8784857280125,360.23151427198763
3500.32,3166.4570264948425,333.8629735051577
3400.77,3211.7870373928326,188.98296260716734
3400.5,3289.0505203439448,111.44947965605525
3851.95,3332.3873533420538,519.5626466579461
4002.81,3487.942776819486,514.867223180514
4455.28,3466.815317244591,988.4646827554088
4500.18,3687.999493151494,812.1805068485064
5500.61,3890.4019381595567,1610.208061840443
5500.63,4031.5783198291633,1469.0516801708368
5499.42,3809.105968744046,1690.314031255954
5499.84,3922.4458375443805,1577.3941624556196
4449.36,3662.4132980934532,786.9467019065464
4999.4,3945.2865028221877,1054.113497177812
4499.37,4093.015457622465,406.3545423775349
6000.2,4285.96970322425,1714.2302967757496
6000.91,4813.699277207522,1187.210722792478
6000.85,4868.844925901546,1132.0050740984543
5999.59,4884.448070910124,1115.1419290898757
5999.47,4795.783320251239,1203.686679748761
4499.44,4704.0107918689555,-204.5707918689559
4499.05,4478.476045727415,20.57395427258507
3769.2,4109.671095319343,-340.4710953193435
3502.14,3812.8956126052735,-310.75561260527365
3439.04,3667.8764879407995,-228.83648794079954
2979.93,3252.9947836080455,-273.0647836080457
2896.74,3032.0523553902703,-135.31235539027057
2896.53,2912.020902050113,-15.490902050112709
2746.81,2640.6423321421903,106.16766785780965
2746.06,2485.679799159905,260.38020084009486
2776.51,2660.9169778981764,115.59302210182386
2853.25,2676.3748766845,176.87512331549988
2700.89,2579.232693474902,121.65730652509774
2669.49,2527.6267981933106,141.86320180668918
2589.49,2311.4597562076237,278.03024379237604
2579.87,2257.057811329516,322.8121886704839
2589.32,2468.6432670977715,120.67673290222865
2579.7,2452.9555528594,126.74444714059973
